aircraft_profile,origin,destination,distance_nm,payload_kg,taxi_minutes,wind_component_knots,temperature_c,planned_burn_kg,actual_burn_kg,flight_date
generic_business_jet,EGSS,EGTK,1510.36,1123.21,22.0,-2.78,-0.55,10469.38,8992.77,2025-11-24
generic_transport_aircraft,LEBL,EHAM,239.56,10909.19,19.13,-43.69,15.62,3711.13,3879.0,2025-03-15
generic_light_aircraft,EGNX,EGNM,664.19,328.27,10.12,8.46,15.94,871.6,795.58,2026-02-07
generic_light_aircraft,LFPG,EHAM,1577.7,117.41,14.51,-15.14,24.89,2100.95,2320.74,2025-02-04
generic_transport_aircraft,EGPH,EGGW,1147.59,9372.27,22.17,-18.4,-3.23,16870.08,15240.19,2026-02-03
generic_heavy_transport,EDDF,EGNM,884.82,12291.12,8.97,12.28,32.74,37751.67,42707.04,2025-01-23
generic_heavy_transport,LEBL,EGGW,598.87,17403.04,14.76,20.23,13.94,25895.61,27896.53,2026-03-18
generic_heavy_transport,LEBL,EGTK,627.53,9979.0,14.1,26.16,24.73,26865.47,27351.73,2025-07-17
generic_transport_aircraft,EGPH,EGLL,918.15,11129.57,17.42,19.09,24.08,13328.7,14204.47,2025-10-07
generic_light_aircraft,EGNX,EGPF,620.5,218.26,15.81,12.41,1.67,818.46,847.55,2025-08-17
generic_heavy_transport,EGTK,LEBL,663.74,44926.02,12.04,33.4,32.92,29135.63,31169.44,2026-02-15
generic_light_aircraft,LEMD,EDDF,99.65,439.47,20.92,-9.95,0.05,155.82,161.36,2025-11-27
generic_business_jet,EGPH,EGPF,1040.51,1207.64,20.94,30.91,9.88,7115.22,7157.2,2025-07-23
generic_business_jet,EGPH,LEMD,1730.71,338.87,10.09,-3.58,31.54,11887.75,11036.58,2026-02-01
generic_business_jet,EGNX,LEBL,1793.62,728.37,26.16,-5.7,-0.09,12444.2,12896.19,2025-08-16
generic_transport_aircraft,EGSS,LLBG,1528.89,4175.26,13.64,-39.8,16.69,22347.21,21270.78,2026-03-12
generic_transport_aircraft,EGLL,LEBL,1273.88,2502.05,13.95,-27.06,34.41,18517.98,18713.56,2025-07-04
generic_business_jet,LFPG,EDDF,1455.43,1127.47,19.46,-38.1,7.37,10281.83,9880.59,2026-01-04
generic_business_jet,EGNM,EHAM,763.56,1162.35,8.76,-19.64,-2.03,5327.63,4982.06,2026-03-01
generic_transport_aircraft,LEBL,LFPG,364.35,11612.04,15.52,27.86,-2.78,5356.83,5432.59,2025-03-20
generic_light_aircraft,EGNX,EGLL,1685.46,190.19,26.84,-3.49,6.36,2230.48,2301.83,2025-05-21
generic_business_jet,EGLL,LEMD,981.25,1053.86,9.71,30.33,1.17,6637.88,6752.63,2026-01-04
generic_transport_aircraft,EHAM,EGPH,1034.15,9990.22,6.62,-41.36,20.66,15229.31,14152.43,2025-08-02
generic_light_aircraft,EHAM,LEMD,1605.19,318.23,20.12,-20.83,4.8,2146.38,2066.9,2025-07-27
generic_light_aircraft,EGNX,LFPG,150.15,275.84,16.65,-28.68,19.27,223.06,215.58,2026-03-17
generic_light_aircraft,EGPH,EGNM,695.3,324.66,13.02,-7.68,5.7,925.76,1000.63,2025-02-19
generic_heavy_transport,EGTK,EGPH,1561.61,21725.39,27.18,27.18,27.54,67243.7,72649.52,2025-03-23
generic_transport_aircraft,EGNM,EHAM,1587.78,6219.76,7.98,-13.54,13.29,22962.64,22146.55,2025-10-26
generic_light_aircraft,EGPH,EGTK,913.54,452.94,20.39,-7.35,16.47,1221.62,1262.52,2026-01-08
generic_business_jet,EGPH,LLBG,124.4,376.74,18.36,-16.0,6.54,986.73,939.52,2025-08-19
generic_business_jet,LEBL,LFPG,1780.85,1320.6,8.61,33.01,10.76,11969.63,12136.42,2026-01-22
generic_transport_aircraft,EGLL,EGNX,749.43,962.93,6.86,12.09,27.16,10681.06,10167.55,2025-03-18
generic_light_aircraft,EHAM,LFPG,1679.55,227.41,14.65,4.32,28.7,2206.23,2086.17,2025-09-08
generic_business_jet,LEMD,EHAM,1476.64,852.54,20.82,33.39,18.35,10014.15,9650.14,2026-01-07
generic_transport_aircraft,LLBG,LEMD,1092.58,3553.6,20.42,32.76,18.14,15588.07,15627.22,2025-09-26
generic_transport_aircraft,EDDF,LEBL,1521.25,2199.42,20.98,-42.47,32.93,22283.78,22677.8,2025-01-10
generic_business_jet,EGNM,EGPH,769.74,605.84,17.04,3.92,13.86,5351.42,5626.42,2025-09-23
generic_business_jet,EGGW,EHAM,1207.21,1088.22,12.9,-31.15,31.48,8483.89,7870.77,2025-07-01
generic_heavy_transport,EDDF,LLBG,1239.71,37146.1,11.82,-6.27,33.29,54354.63,53898.38,2025-06-02
generic_transport_aircraft,LEBL,EGNX,1256.37,6123.54,16.56,-0.16,32.38,18182.7,19010.86,2025-05-28
generic_transport_aircraft,EGSS,EDDF,711.36,11771.85,24.0,31.37,27.18,10393.12,10274.74,2025-06-27
generic_business_jet,EGNM,LEMD,885.78,603.1,17.85,29.64,22.85,6060.57,6326.29,2025-11-12
generic_business_jet,LEMD,EHAM,134.09,1657.78,10.96,-26.37,-0.99,1008.04,977.73,2025-03-12
generic_heavy_transport,EGTK,EHAM,322.19,31115.71,25.37,-6.94,21.02,14837.03,15644.88,2025-05-28
generic_transport_aircraft,EGPH,EGNX,1638.43,1528.8,18.63,-2.19,23.92,23533.25,26171.55,2026-03-28
generic_heavy_transport,LLBG,EGLL,108.78,38448.13,23.34,-30.1,24.96,5598.06,5334.26,2025-05-29
generic_business_jet,EGTK,EGSS,1102.88,1692.68,13.37,-8.65,20.65,7664.71,6790.63,2025-09-16
generic_light_aircraft,EGNM,EGNX,242.7,165.0,16.1,-24.42,2.45,340.91,334.92,2026-02-09
generic_transport_aircraft,EGNX,EDDF,384.0,7525.98,20.05,-12.56,12.11,5742.92,5592.57,2025-03-13
generic_heavy_transport,EGNM,EGPH,56.99,20342.98,15.83,-23.64,8.19,3010.35,3158.24,2025-10-21
generic_transport_aircraft,EGTK,EGPH,1260.81,1214.43,8.6,-20.46,11.22,18176.39,16053.65,2025-06-09
generic_transport_aircraft,LEMD,EGSS,1695.82,4726.75,10.86,31.59,14.13,24036.08,23991.63,2025-11-07
generic_transport_aircraft,EGPH,EGNM,1646.96,9209.53,23.64,21.05,25.47,23742.16,22997.2,2025-09-27
generic_transport_aircraft,EGNM,EHAM,182.07,6987.94,7.36,-1.19,15.22,2687.18,2506.99,2025-03-18
generic_heavy_transport,EGLL,EGPF,820.43,32211.81,21.77,-5.89,30.96,36304.8,35668.43,2025-08-01
generic_light_aircraft,EGNM,EDDF,856.47,422.77,21.91,-13.32,27.66,1162.7,1169.96,2025-10-24
generic_business_jet,EGSS,EGTK,1274.18,1111.75,7.33,26.54,34.45,8617.27,8233.35,2025-03-11
generic_heavy_transport,LEBL,EDDF,1178.52,21814.48,27.84,-14.4,29.78,51698.75,52107.14,2025-07-12
generic_heavy_transport,EGSS,LEMD,1579.84,10319.59,24.93,-35.51,34.71,68646.46,67104.18,2026-03-04
generic_light_aircraft,EGTK,LLBG,568.63,369.4,17.98,-2.45,27.93,773.37,787.19,2025-06-27
generic_light_aircraft,EGLL,EGPH,1580.99,406.2,6.71,7.82,19.6,2057.23,2275.7,2025-02-04
generic_light_aircraft,EGSS,EDDF,1094.11,381.31,7.07,14.24,11.09,1416.92,1353.18,2025-04-22
generic_light_aircraft,LEBL,LLBG,929.34,215.71,23.95,13.52,7.76,1225.11,1142.89,2025-06-04
generic_transport_aircraft,EGLL,LEMD,770.8,3664.27,18.25,2.33,24.41,11183.86,10653.39,2025-12-14
generic_transport_aircraft,EGPF,EHAM,1751.37,11328.24,20.77,17.86,7.75,25306.06,24621.65,2026-01-22
generic_business_jet,LFPG,EGNM,440.48,1586.31,9.18,-7.96,-2.7,3085.13,3133.54,2025-08-02
generic_light_aircraft,LFPG,EHAM,471.22,181.33,20.23,28.78,28.89,634.74,681.61,2025-05-18
generic_transport_aircraft,EGPF,LEMD,114.41,1337.02,23.7,2.01,21.86,1868.91,1959.51,2025-04-17
generic_business_jet,LLBG,EGPH,1640.28,617.71,10.18,14.32,24.88,11155.38,11192.39,2025-12-27
generic_heavy_transport,EGGW,EGNM,1013.9,36020.56,14.37,-2.31,9.37,44507.44,39081.32,2025-09-20
generic_light_aircraft,EGNM,LFPG,1767.21,287.8,24.47,28.15,9.83,2279.04,2140.86,2025-03-16
generic_transport_aircraft,EGTK,EGPH,1069.98,8780.14,12.49,-29.3,4.2,15704.02,16275.79,2025-05-06
generic_transport_aircraft,EGNM,EHAM,1246.91,3459.26,24.08,32.32,20.67,17800.12,17206.94,2025-03-28
generic_transport_aircraft,EGLL,LEBL,368.0,10727.69,27.79,31.58,15.96,5517.47,5528.35,2025-02-08
generic_light_aircraft,LLBG,EDDF,56.2,155.0,19.88,-39.56,1.04,99.17,100.35,2025-11-23
generic_heavy_transport,EDDF,EHAM,1202.04,5629.27,17.71,-12.09,-4.33,51566.29,54635.64,2025-10-02
generic_transport_aircraft,EGNX,EGTK,1269.74,5451.59,26.67,-30.66,31.72,18689.4,17935.03,2025-05-10
generic_business_jet,LLBG,EGPH,741.55,859.58,14.93,0.2,34.61,5174.09,5141.84,2025-12-17
generic_transport_aircraft,LLBG,EGSS,1551.17,9235.24,8.06,-14.66,17.11,22546.2,22706.57,2025-09-13
generic_transport_aircraft,LLBG,EGPF,626.38,11739.29,27.42,26.58,31.77,9236.76,9260.94,2026-04-07
generic_heavy_transport,LLBG,LEMD,879.5,6862.48,7.64,29.05,30.97,37090.85,36604.62,2025-06-11
generic_transport_aircraft,EGTK,EGNX,1365.21,8696.18,14.76,-38.85,1.5,20101.06,19989.95,2026-03-04
generic_transport_aircraft,LLBG,EGPF,993.69,4914.23,22.27,18.24,22.57,14332.96,15481.88,2025-02-20
generic_transport_aircraft,EGPF,EGGW,642.74,9343.57,27.01,-13.26,25.94,9583.0,8749.68,2026-02-06
generic_business_jet,EGNM,LFPG,1015.58,863.14,10.09,1.87,10.2,6983.25,7027.87,2025-02-07
generic_light_aircraft,EGSS,EGPH,1293.99,353.56,22.27,-19.67,-0.74,1736.2,1431.36,2025-08-16
generic_business_jet,EGPH,LLBG,277.55,581.09,15.87,-0.62,11.32,2004.58,2106.23,2025-11-03
generic_heavy_transport,LEBL,EGPH,66.66,21552.4,23.14,12.99,17.38,3653.96,3684.82,2025-05-05
generic_light_aircraft,EHAM,LFPG,713.18,155.54,12.62,-5.55,-2.47,946.69,896.77,2025-02-09
generic_heavy_transport,EGPH,EGNX,1310.18,24832.1,19.57,-8.37,0.42,57102.19,50989.19,2025-06-20
generic_business_jet,LLBG,EHAM,1558.16,960.33,15.47,20.88,21.04,10602.51,10193.75,2025-12-22
generic_business_jet,EGGW,LFPG,1737.83,1753.09,12.41,10.6,14.64,11875.59,11566.99,2025-05-05
generic_business_jet,EGPH,EGNM,1424.2,847.52,26.51,-29.02,34.89,10073.48,12894.52,2025-08-25
generic_business_jet,LEMD,EGGW,556.29,1339.25,24.02,18.65,11.37,3924.6,4258.2,2025-11-21
generic_business_jet,EGNX,EGGW,315.52,934.69,14.29,-9.07,18.92,2267.18,2133.13,2026-03-22
generic_transport_aircraft,LEMD,EGPF,1432.72,4634.59,25.7,-2.05,20.53,20763.03,20065.44,2026-01-29
generic_transport_aircraft,EGGW,LEMD,336.92,7545.8,18.39,6.6,20.87,5012.97,5255.09,2025-02-24
generic_business_jet,EGTK,EGLL,941.24,1078.2,18.77,1.02,12.83,6545.94,6479.03,2026-01-31
generic_transport_aircraft,EDDF,EHAM,309.56,11973.58,16.62,-21.37,31.82,4692.9,5110.71,2025-06-28
